user_id,age,sexe,nombre_commandes,categories_preferees,commande_id,date_commande,nombre_articles,montant_total,adresse_id,ville,province,pays
9,1941,M,4,,,,,,,,,
15,2005,F,6,,,,,,,,,
16,1999,M,7,,,,,,,,,
17,1942,M,5,,,,,,17.0,Powellchester,Michigan,Kyrgyz Republic
20,1989,F,4,,,,,,20.0,Lake Sarah,Tennessee,Moldova
21,1960,F,15,,,,,,21.0,Burnsburgh,New Jersey,Swaziland
22,1931,M,6,,,,,,22.0,Allenshire,West Virginia,Libyan Arab Jamahiriya
23,1968,F,1,,,,,,23.0,Lake Billyview,South Dakota,British Virgin Islands
24,1985,M,9,,,,,,24.0,North Lorrainechester,Tennessee,Austria
25,1994,F,11,,,,,,25.0,Lyonsside,Nevada,Cote d'Ivoire
26,1983,M,13,,,,,,26.0,Louisport,South Carolina,Bouvet Island (Bouvetoya)
27,1952,M,5,,,,,,27.0,South Yolandachester,California,Armenia
28,1933,M,11,,,,,,28.0,Port Jacobberg,Montana,Brunei Darussalam
29,2006,M,19,,,,,,29.0,North Scott,Arkansas,Saudi Arabia
30,1972,M,2,,,,,,30.0,Sherryburgh,New Jersey,Lesotho
31,1955,F,4,,,,,,31.0,East Jason,Michigan,Switzerland
32,1978,F,11,,,,,,32.0,Cassandraport,Alaska,Oman
33,1983,M,13,,,,,,33.0,Lake Michael,Missouri,Greenland
34,1983,M,3,,,,,,34.0,Roseland,Illinois,Liechtenstein
35,1959,F,11,,,,,,35.0,Henryville,Missouri,Mayotte
36,1978,F,8,,,,,,36.0,East Ian,Illinois,Vietnam
37,1981,F,16,,,,,,37.0,Barrymouth,Arkansas,Congo
38,1967,M,3,,,,,,38.0,South Lisa,Oklahoma,Switzerland
39,1961,M,6,,,,,,39.0,Jonathanbury,Minnesota,Algeria
40,1997,F,18,,,,,,40.0,North Deborah,Kansas,Madagascar
41,1934,F,21,,,,,,41.0,Lindastad,New Hampshire,Brazil
42,1940,M,1,,,,,,42.0,South Anthony,Rhode Island,Liechtenstein
43,1955,M,8,,,,,,43.0,Natalieland,Indiana,Jersey
44,1982,F,21,,,,,,44.0,Nicolefort,Vermont,Peru
45,1956,F,11,,,,,,45.0,East Kimhaven,Colorado,Grenada
46,1951,M,4,,,,,,46.0,Kyleport,Florida,China
47,1943,F,10,,,,,,47.0,Lake Brian,Alaska,Gibraltar
48,2000,F,2,,,,,,48.0,West Robert,New Mexico,Marshall Islands
49,1984,M,11,,,,,,49.0,South Taylor,Maryland,Christmas Island
50,1950,M,15,,,,,,50.0,Smithfurt,Florida,Mozambique
51,1991,F,16,,,,,,51.0,Carrollbury,Mississippi,Tonga
52,1948,F,9,,,,,,52.0,New Nicholashaven,Nevada,Netherlands Antilles
53,1953,F,1,,,,,,53.0,Jennyside,Tennessee,Burkina Faso
54,2003,F,7,,,,,,54.0,North Robertchester,Oklahoma,Eritrea
55,1926,M,13,,,,,,55.0,West Carrie,Arkansas,Cocos (Keeling) Islands
56,1941,F,9,,,,,,56.0,Brandonmouth,Colorado,Honduras
57,1932,F,5,,,,,,57.0,West Brianfort,Washington,Saint Vincent and the Grenadines
58,1931,M,10,,,,,,58.0,South Donaldland,Maine,Zimbabwe
59,1969,F,17,,,,,,59.0,North Joemouth,West Virginia,New Caledonia
60,1950,M,1,,,,,,60.0,South Willieton,Ohio,New Caledonia
61,2002,M,8,,,,,,61.0,New Adrianton,Alabama,Saint Lucia
62,1995,M,2,,,,,,62.0,Franklinport,Utah,Tonga
63,1929,M,17,,,,,,63.0,New Jonathanshire,Tennessee,Micronesia
64,1948,F,5,,,,,,64.0,West Joycefurt,Georgia,Slovenia
65,1968,F,4,,,,,,65.0,South Ginachester,Tennessee,Bahrain
66,1974,F,11,,,,,,66.0,East Sandra,Pennsylvania,Iran
67,1954,M,8,,,,,,67.0,Greenside,Maryland,Jordan
68,1937,M,17,,,,,,68.0,Thomasshire,Oklahoma,Belarus
69,1937,F,8,,,,,,69.0,South Joel,Arkansas,Bahamas
